"file","MP","Ftrgt","Btrigger","period","risk","SSB","Fbar","Catch","Fbar.1","SSB_rel","Catch_rel","Fbar_rel","ICV"
"mp_0.1_3200.rds","ICES_SAM",0.1,3200,"long-term",0.000285714285714286,9464.96531111268,0.0974455253813313,1003,0.0974455253813313,1.81541601813188,0.827855233197461,0.416841373365001,0.0767369363009615
"mp_0.1_3200.rds","ICES_SAM",0.1,3200,"short-term",0.126857142857143,7116.25868903091,0.0915385185963103,695.999999999995,0.0915385185963103,1.40194944259946,0.578078771260312,0.393317166552055,0.12183734477523
"mp_0.1_3200.rds","ICES_SAM",0.1,3200,"all",0.126857142857143,8241.80341391529,0.0944901634206005,847.99999984877,0.0944901634206005,1.6055475196711,0.705614598365965,0.404851437769193,0.0943214629542795
"mp_0.1_3500.rds","ICES_SAM",0.1,3500,"long-term",0.000285714285714286,9463.91360674023,0.097429665233378,1002.99998992075,0.097429665233378,1.81562239275578,0.827956146394658,0.416796455541441,0.0769686879743128
"mp_0.1_3500.rds","ICES_SAM",0.1,3500,"short-term",0.126857142857143,7116.70169924304,0.0914718929721681,695.999999999256,0.0914718929721681,1.40235785618248,0.578211997322228,0.393069204204825,0.122580650454099
"mp_0.1_3500.rds","ICES_SAM",0.1,3500,"all",0.126857142857143,8241.97202049146,0.094442942583975,847.999999989727,0.094442942583975,1.60553087398685,0.705614598367544,0.404835592316271,0.0948225712478015
"mp_0.1_3800.rds","ICES_SAM",0.1,3800,"long-term",0.000285714285714286,9466.47170507692,0.0974048932838867,1002.99999999997,0.0974048932838867,1.81595200315921,0.827971744819365,0.416880447463347,0.0771793581542944
"mp_0.1_3800.rds","ICES_SAM",0.1,3800,"short-term",0.126857142857143,7121.380826929,0.0913321324897459,696.999997594347,0.0913321324897459,1.4032505788476,0.57879421018804,0.392341908435424,0.124579124454626
"mp_0.1_3800.rds","ICES_SAM",0.1,3800,"all",0.126857142857143,8245.03671346376,0.09435831045707,847.999999999315,0.09435831045707,1.60633779223782,0.705798682170336,0.40440406720569,0.0955414012717926
"mp_0.1_4000.rds","ICES_SAM",0.1,4000,"long-term",0.000285714285714286,9467.34292902552,0.0974042416532496,1003.99999999967,0.0974042416532496,1.8164295207896,0.828031774178219,0.41668437972935,0.0772582097736713
"mp_0.1_4000.rds","ICES_SAM",0.1,4000,"short-term",0.126857142857143,7126.16834547244,0.0911367574803804,697.999999947328,0.0911367574803804,1.40467237190173,0.579445100646207,0.391481268461674,0.126068395084689
"mp_0.1_4000.rds","ICES_SAM",0.1,4000,"all",0.126857142857143,8248.32956322614,0.09427095058905,848.999999564425,0.09427095058905,1.60701571733287,0.706258790552177,0.403971069256978,0.0962295137550329
"mp_0.1_4200.rds","ICES_SAM",0.1,4200,"long-term",0.000285714285714286,9468.83314619242,0.0973960434492409,1003.99999984859,0.0973960434492409,1.81679434996883,0.828045740600865,0.416587520460508,0.0773591601299824
